Groupe,Expédition,Station Hydrologique,Météo de la région,Débit minimum (en m³/s),Débit maximum (en m³/s),Pondération,Station CEHQ,Lien CEHQ,Station Vigilance,Lien Vigilance,Processus décisionel
Tournesol & Commando,Basse-Batiscan,Batiscan,https://meteo.gc.ca/city/pages/qc-154_metric_f.html,30,150,1,50304,https://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=050304,206,https://vigilance.geo.msp.gouv.qc.ca/stations/206,
Tournesol & Commando,St-Anne,St-Anne,https://meteo.gc.ca/city/pages/qc-133_metric_f.html,22,175,1,50408,https://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=050408 ,365,https://vigilance.geo.msp.gouv.qc.ca/stations/365 ,
Radisson & Amazone 2 ,Haute-Batiscan,Batiscan,https://meteo.gc.ca/city/pages/qc-133_metric_f.html,33,120,0.64,50304,https://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=050304,206,https://vigilance.geo.msp.gouv.qc.ca/stations/206,
Radisson & Amazone 2 ,Jeannotte,Batiscan,https://meteo.gc.ca/city/pages/qc-133_metric_f.html,33,120,0.64,50304,https://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=050304,206,https://vigilance.geo.msp.gouv.qc.ca/stations/206,
Radisson & Amazone 3 ,Ouasiemsca,Mistassini,https://meteo.gc.ca/city/pages/qc-73_metric_f.html,80,425,1,62102,https://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=062102 ,437,https://vigilance.geo.msp.gouv.qc.ca/stations/437 ,
Radisson & Amazone 3 ,Métabéchouane,Métabéchouane,https://meteo.gc.ca/city/pages/qc-73_metric_f.html,0,90,1,61502,https://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=061502 ,412,https://vigilance.geo.msp.gouv.qc.ca/stations/412 ,
Radisson & Amazone 3 ,Métabéchouane,Aux Écorces,https://meteo.gc.ca/city/pages/qc-73_metric_f.html,0,60,1,61020,https://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=061020,280,https://vigilance.geo.msp.gouv.qc.ca/stations/280,
Radisson & Amazone 3 ,Métabéchouane,Pikauba,https://meteo.gc.ca/city/pages/qc-73_metric_f.html,0,55,1,61022,https://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=061022,138,https://vigilance.geo.msp.gouv.qc.ca/stations/138,
Radisson & Amazone 3 ,Coulonge,Dumoine,https://meteo.gc.ca/city/pages/qc-102_metric_f.html,14,220,1,41902,https://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=041902 ,215,https://vigilance.geo.msp.gouv.qc.ca/stations/215 ,
Pion & Pionne,Ashuapmushuan,Ashuapmushuan,https://meteo.gc.ca/city/pages/qc-73_metric_f.html,80,400,1,61901,https://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=061901 ,382,https://vigilance.geo.msp.gouv.qc.ca/stations/382 ,
Pion & Pionne,Bazin,Gatineau,https://meteo.gc.ca/city/pages/qc-47_metric_f.html,40,300,1,40830,https://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=040830 ,442,https://vigilance.geo.msp.gouv.qc.ca/stations/442,
Pion & Pionne,Monet,Vermillon,https://meteo.gc.ca/city/pages/qc-73_metric_f.html,0,0,1,50144,https://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=050144 ,336,https://vigilance.geo.msp.gouv.qc.ca/stations/336 ,
Pion & Pionne,Parent,Vermillon,https://meteo.gc.ca/city/pages/qc-73_metric_f.html,0,0,1,50144,https://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=050144 ,336,https://vigilance.geo.msp.gouv.qc.ca/stations/336 ,
Pion & Pionne,Mattawin-Vermillon,Mattawin,https://meteo.gc.ca/city/pages/qc-c0_metric_f.html,10,80,1,50119,https://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=050119 ,234,https://vigilance.geo.msp.gouv.qc.ca/stations/234 ,
Pion & Pionne,Mattawin-Vermillon,Vermillon,https://meteo.gc.ca/city/pages/qc-c0_metric_f.html,0,0,1,50144,https://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=050144 ,336,https://vigilance.geo.msp.gouv.qc.ca/stations/336 ,
Pion & Pionne,Bazin-Gatineau,Gatineau,https://meteo.gc.ca/city/pages/qc-102_metric_f.html,40,300,1,40830,https://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=040830 ,442,https://vigilance.geo.msp.gouv.qc.ca/stations/442,
Broadback,Broadback,Broadback,https://meteo.gc.ca/city/pages/qc-116_metric_f.html,0,450,1,80809,https://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=080809,71,https://vigilance.geo.msp.gouv.qc.ca/stations/71 ,
